video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,video_error_or_removed,description,location
VfTShScTMXI,,"Raghava Lawrence's RUDHRAN (2024) New Released Full Hindi Dubbed Movie |R Sarathkumar, Priya Shankar",LGF Studios,24,2024-04-20T17:00:07Z,"new south indian movies dubbed in hindi 2024 full,south new movie 2023 hindi dubbed,love story movie,new south indian movies dubbed in hindi 2023 full,new south movie,south movie,hindi movie,south new movie 2024 hindi dubbed,south indian movies dubbed in hindi full movie 2024 new,new movies 2024,rudhran full movie hindi dubbed 2023,rudhran movie,rudhran hindi dubbed movie,raghava lawrence movie in hindi dubbed,r sarathkumar movies,raghava lawrence rudhran movie",2030254,39149,0,1460,https://i.ytimg.com/vi/VfTShScTMXI/default.jpg,False,,"Presenting New South (Sauth) Indian Movies Dubbed In Hindi 2024 Full (हिंदी मूवी, साउथ मूवी) ""RUDHRAN"" starring Raghava Lawrence, R. Sarathkumar, Priya Bhavani Shankar, Nassar, Poornima Bhagyaraj, Sharath Lohithaswa & Kaali Venkat. Exclusively on @LGFStudios 

Subscribe to ​⁠ For More Hindi Indian Blockbusters in Hindi for FREE
http://bit.ly/SunshineMovies

Popular Movies
⦿ Jail - https://youtu.be/TKgd216qH_0
⦿ Yajamana - https://youtu.be/LO20UB9U8dE
⦿ Muddy - https://youtu.be/yVq0NnnjRts
⦿ Sardar Singham - https://youtu.be/mrJkVvW90L0
⦿ Big Brother - https://youtu.be/sglMbBHnkYc
⦿ Bicchugathi - https://youtu.be/rt6sHVfzjWM
⦿ One - https://youtu.be/jjTw8R44XBI
⦿ The Kung Fu Master - https://youtu.be/2Odbgayebbc
⦿ Mamangam - https://youtu.be/8zrAkm5vhr8
⦿ Mundinja Ivana Pudi - https://youtu.be/HptVFddenBY
⦿ Eddakad Battalion - https://youtu.be/-9JSI_RDLaI
⦿ Adventure Of Srimannarayan - https://youtu.be/l4BXM7lcVQw
⦿ Power - https://youtu.be/0Nw6r5GiGdM
⦿ Dreams - https://youtu.be/zaF9yJT-3TY
⦿ Kirathaka - https://youtu.be/o3W9_cF0hkI

Movie Credits:
Directed by S. Kathiresan
Written by K. P. Thirumaaran
Produced by S. Kathiresan
Starring Raghava Lawrence, R. Sarathkumar, Priya Bhavani Shankar, Nassar, Poornima Bhagyaraj, Sharath Lohithaswa & Kaali Venkat
Cinematography R. D. Rajasekhar
Edited by Sam C.S., G.V. Prakash Kumar 

Synopsis:
Rudhran is a happy IT man living with his family until the moment his life is turned upside down. He comes upon a major criminal network including a businessman, Rudhran embarks on a mission to expose him the criminal network.


Join Us On
⦿ YouTube : http://bit.ly/SunshineMovies
⦿ Website: http://lakshmiganpathyfilms.in
⦿ Facebook: https://www.facebook.com/officialsunshinemovies
⦿ Instagram: https://www.instagram.com/sunshinemoviesofficial

#RaghavaLawrence #hindidubbedmovies #southmovie2024 #rudhran",IN
l-nMKJ5J3Uc,,"Ages 1 - 100 Decide Who Wins $250,000",MrBeast,24,2024-04-20T15:59:59Z,,52232019,2837230,0,135212,https://i.ytimg.com/vi/l-nMKJ5J3Uc/default.jpg,False,,"I can’t believe who they picked
Thanks Top Troops for sponsoring this video. Download Top Troops at https://toptroops.onelink.me/JHnC/mrbeast or scan the QR code to get a FREE special Starter Pack for a limited time

Thanks Samsung for the Tab S9s - the Galaxy AI features are cool too: https://smsng.us/MrBTabS9

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Also thank you Concept Pixel for the LED Walls,it looked great!
 www.conceptpixels.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",IN
3osSxQghBDM,,Heavy Rain in DUBAI an Update | By God's Grace Not any Big Issues !!!,Food Area Tamil,22,2024-04-21T05:00:04Z,,376776,7450,0,577,https://i.ytimg.com/vi/3osSxQghBDM/default.jpg,False,,"Jabbar Bhai Biriyani Restaurant LLC - Sharjah
Lootah Building - Al Zahra'a St - opp. to Rolla Park - Al Mussalla - Al Gharb - Sharjah
0555155842

https://maps.app.goo.gl/wfHi2Ek5RAkGxePaA
----------------------------------------------------------------------------------------------

Jabbar Bhai Biriyani Restaurant L.L.C
Al Gaz Tower - Airport Rd - near Adnoc Lube Station - Al Danah - Zone 1 - Abu Dhabi

https://maps.google.com/maps?q=24.471763610839844%2C54.3698616027832&z=17&hl=en
Ph: +971581450777
-----------------------------------------------------------------------------------------------

Jabbar Bhai Biriyani Restaurant
Shop No 4 Al Mansoor Building
Damascus Street Al Qusais 
Dubai - UAE
Ph.+971555139775

https://goo.gl/maps/SCfpDJ3z73WhXbAJ8
----------------------------------------------------------------------------------------

For Jabbar Bhai Yacht Bookings
 +971 58 810 7889
--------------------------------------------------------------------------------------

Biryani Orders In Chennai
+91 8754428528",IN
SjGa57LNz6Q,,"New Zealand Tour Of Pakistan, 2024 | Pakistan vs New Zealand, 2nd T20I | Highlights",FanCode,17,2024-04-20T17:59:16Z,"sports,cricket,T20I,T20,New Zealand,Luke Wood,Finn Allen,youtube,streaming live,watch live,trending,cricket pakistan,cricket new zealand,pak vs nz,highlights,youtube shorts,shorts,live cricket,babar azam,naseem shah,shaheen afridi,mohammad amir,mohammad rizwan",617836,11044,0,947,https://i.ytimg.com/vi/SjGa57LNz6Q/default.jpg,False,,"Watch all the action from the New Zealand Tour Of Pakistan live, only on FanCode 👉 https://bit.ly/PAK-vs-NZ

Subscribe to our YouTube channel 👉 https://www.youtube.com/c/fancode/sub.

Hit the Bell 🔔 icon to never miss an update.

Download the app 👉 http://bit.ly/Download_Fancode

Follow us on:
👉Facebook: https://www.facebook.com/Fancode/
👉Twitter: https://twitter.com/FanCode
👉Instagram: https://www.instagram.com/fancode/
👉Watch Now: https://www.fancode.com/
👉Shop Now: https://fancode.com/shop

#livestreaming #cricket #trending #sports #t20 #youtubeshorts #youtube #newzealand #pakistan #watchlive #fancode #pakistancricket #pakvsnz",IN
bbJy7eM0MdU,,Ajiyt Pawar On Rohit Pawar : तु तुझी कर्जत जामखेडला जाऊन.... दादा हे काय बोलून गेले....,News18 Lokmat,25,2024-04-20T09:09:40Z,"sunetra pawar,ajit pawar,sharad pawar,sunetra pawar baramati,sunetra pawar news,sunetra pawar interview,sunetra ajit pawar,sunetra pawar speech,ajit pawar live,sunetra pawar supriya sule,sunetra pawar vs supriya sule,supriya sule vs sunetra pawar,supriya sule on sunetra pawar,supriya sule and sunetra pawar,sunetra pawar baramati loksabha,ajit pawar sharad pawar,Ajit Pawar Sabha,NCP,Pune,Baramati Loksabha,Loksabha election 2024,Loksabha election,2024",373043,2311,0,979,https://i.ytimg.com/vi/bbJy7eM0MdU/default.jpg,False,,"Ajit Pawar LIVE: Sunetra Pawarयांच्या Baramati Loksabha Electionसाठी अजितदादांची Kanehriमध्ये सभा
#ajitpawar #sunetrapawar #supriyasulefc #ncp #sharadpawar #loksabhaelection2024 #loksabha  #marathinews18 #maharashtranews18 #marathibatmyanews18 

 n18oc_pune | n18oc_news

News18 India’s leading News Network, and the Lokmat Group, Maharashtra’s leading Newspaper group, present News18Lokmat (formerly- IBN-Lokmat ) - a 24-hour Marathi News and Current Affairs Channel. The legacy of these two renowned media powerhouses will give News18Lokmat a sense of immense credibility as well as access to a vast audience base. Going on air from April 6, News18Lokmat will be a world-class credible News channel for the highly aware and conscious ‘Progressive Marathi’.

Follow us
Website: https://bit.ly/321zn3A
Twitter : https://twitter.com/news18lokmat?lang=en
Facebook: https://www.facebook.com/News18Lokmat

Subscribe our channel to get latest news & updates https://tinyurl.com/y4sdfw6n",IN
LtKRnGO2ZDg,,AAVESHAM | The Talent Teaser | Jithu Madhavan | Fahadh Faasil | Sushin Shyam,Anwar Rasheed Entertainment Official,1,2024-04-19T15:46:04Z,"aavesham movie malayalam,aavesham movie malayalam fahadh faasil,aavesham malayalam movie trailer,aavesham new malayalam movie,aavesham fahadh faasil,aavesham fahadh faasil trailer,fahadh faasil,fahadh faasil movies,fahadh faasil new movie trailer,fahadh faasil new movie,sushin shyam trailer,sushin shyam music,sushin shyam songs,fahadh faasil and nazriya movies,malayalam new movie,avesham movie,avesham movie review,avesham,Avesham movie,Avesham fafa",1128701,44347,0,1075,https://i.ytimg.com/vi/LtKRnGO2ZDg/default.jpg,False,,"Aavesham Talent Teaser

Aavesham  In Theatres near you 

Starring - Fahadh Faasil, Sajin Gopu, Mansoor Ali Khan, Ashish Vidyarthi, Hipzster, Mithun Jai Sankar, Roshan Shanavas, Midhutty

Writer & Director - Jithu Madhavan
Producers - Nazriya Nazim, Anwar Rasheed
DOP - Sameer Thahir 
Music Composer - Sushin Shyam 
Editor - Vivek Harshan
Audiography - Vishnu Govind
Production design - Ashwini Kale
Costumes - Mashar Hamsa 
Executive Producer - AR Ansar
Line Producer - PK sreekumar 
Project CEO - Mohsin Khais
Makeup - RG Wayanadan
Action - Chethan D‘souza 
Choreography - Sandy
Lyrics - Vinayak Sasikumar 
Production Controller - Vinod Sekar
Chief Associate Director - Sumilal Subramanian, Arun Appukkuttan 
VFX - Egg White
Colourist - Srik Varier
DI - Poetic 
First Look and Title Design - Abhilash Chacko 
Design - Sraavan suresh
Title Graphics - Rajeev Gopal , Agin Davis 
Stills - Rohith K Suresh ,Nihad KN
Release - A&A Release 
PRO- A S Dinesh, Athira Diljith
Visual Promotions: Snakeplant LLP

Aavesham official Instagram  Page : https://www.instagram.com/aaveshammovie?igsh=MW40cHRocGxvN2N5dA==
Facebook page: https://www.facebook.com/profile.php?id=61557433823786&mibextid=ZbWKwL

Digital Partner: Avenirtek Digital Private Limited

|| ANTI-PIRACY WARNING ||

This content is Copyrighted to Anwar Rasheed Entertainment. Any unauthorized reproduction, redistribution or re-upload is strictly prohibited. Legal action will be taken against those who violate the copyright of the same.",IN
rzCASBuB-Rs,,Siragadikka Aasai | 22nd to 27th April 2024 - Promo,Vijay Television,24,2024-04-21T04:30:29Z,"Siragadikka Aasai,Star,Star Vijay TV,Vijay TV,Vijay,Redefining Entertainment,தமிழ்,விஜய்,டிவி,தொலைக்காட்சி,Tamil TV,Tamil Shows",2346839,40794,0,455,https://i.ytimg.com/vi/rzCASBuB-Rs/default.jpg,False,,சிறகடிக்க ஆசை - திங்கள் முதல் சனி இரவு 9 மணிக்கு நம்ம விஜய் டிவில...... Click here - https://www.hotstar.com/in/shows/siragadikka-aasai/1260128356 to watch the show on Disney+ Hotstar. #SiragadikkaAasai #VijayTelevision,IN
kUpAL3U1vgM,,Pandian Stores 2 | 22nd to 27th April 2024 - Promo,Vijay Television,24,2024-04-21T04:30:21Z,"Pandian Stores,Star,Star Vijay TV,Vijay TV,Vijay,Redefining Entertainment,தமிழ்,விஜய்,டிவி,தொலைக்காட்சி,Tamil TV,Tamil Shows,hotstar,பாண்டியன் ஸ்டோர்ஸ்,jeeva,Kathir",2215860,34716,0,171,https://i.ytimg.com/vi/kUpAL3U1vgM/default.jpg,False,,பாண்டியன் ஸ்டோர்ஸ் தந்தை சொல் மிக்க மந்திரம் இல்லை - திங்கள் முதல் சனி இரவு 8 மணிக்கு நம்ம விஜய் டிவில.. Click here https://www.hotstar.com/in/shows/pandian-stores-2/1260000603 to watch the show on Disney+ Hotstar             #PandianStores #VijayTV #VijayTelevision #StarVijayTV #StarVijay #TamilTV,IN
dc1qeEiYj54,,World Malayalee Anthem | Malayalee From India | Nivin Pauly | Jakes | Asal Kolaar  | Dijo Jose,Magic Frames Music,10,2024-04-20T13:03:09Z,"World Malayalee Anthem,Malayalee From India Song,Jakes Bejoy New song,Nivil Pauly movie song,Anaswara rajan movie song,Dhyan sreenivasan movie song,dijo jose movie song",1181082,64588,0,3538,https://i.ytimg.com/vi/dc1qeEiYj54/default.jpg,False,,"Presenting “World Malayalee Anthem” from the movie ""Malayalee From India"", Music Composed by Jakes Bejoy feat.Asal Kolaar 

Promo Video Credits : 

Director: Dijo Jose Antony
Choreography: Jishnu
Director of Photography: TR
Music and BGM: Jakes Bejoy
Lyrics : Sharis Mohammed, Suhail Koya
Singers: Akshay Unnikrishnan, Jakes Bejoy
Tamil Rap and Lyrics : Asal Kolaar 
Editor and Colorist: Sreejith Sarang
Art director: Akhilraj Chirayil
Make up: Ronex Xavier
Costume Designer: Sameera Saneesh
Chief Associate Director: Elson Eldhose
Associate Director: Rijin John
Direction Team: Shan B Andrews, Maneesh Mohan, Ameer Kollam
Choreography Assist: Akhil, Praveendas, Sarang, Ganga
Cinematography Team : Jomal Valsan, Farish Saleem, Nithin Nair
Production In charge: Akhil Yesodharan
Production Controller: Gireesh Kodungallur
Production Manager: Aadhi Shiiva
Spot Editor : Manu Antu
Sync Sound Recordist: Nidhin B Molickal
Boom Operator: Christopher P Allesh
Sound Assistant: Akhil Mukundhan
Sound Design: Sync Cinema
Final Mixing: Rajakrishnan M R
VFX: Sanath TG, Paperplanetv Vfx Studio 
Making Video: Alex Paul Kayyala


TITLE SONG CREDITS 
Backing Vocals : AKHIL J CHAND
Music Producers :  JAKES BEJOY, PRAVEEN NINAN
Add.keys : MANEESH SHAJI
Guitars: SUMESH PARAMESWAR
Chorus: JAKES BEJOY, AKHIL J CHAND, DANIEL JOSEPH ANTONY, AKSHAY UNNIKRISHNAN, MANEETH MANOJ, PAULOSE K PHILIP
Session Arranged and Managed by :
DANIEL JOSEPH ANTONY & MANEETH MANOJ 
Assisted by : PAULOSE PHILIP@ Mindscore music
Vocals Edited and Song Premixed by DANIEL JOSEPH ANTONY
Song Mixed by MIDHUN ANAND
Stem Mastered by GETHIN JOHN @Hafod Mastering
Chief Associate : AKHIL J CHAND
Recording Engineers :
MIDHUN ANAND 
DANIEL JOSEPH ANTONY
MANEETH MANOJ
Recording Studios : 
Mindscore Studio, Cochin
Artist Co-ordination : KD VINCENT

Movie Credits :
Director: Dijo Jose Antony 
Writer: Sharis Mohammed 
Producer: Listin Stephen 
Produced: Magic Frames 
Banner: Magic Frames 
Co-Producer: Justin Stephen 
Director of Photography: T R
Line Producer: Santhosh Krishnan 
Editor and Colorist: Sreejith Sarang 
Music and BGM: Jakes Bejoy 
Production designer: Prasanth Madhav 
Art director: Akhilraj Chirayil 
Executive Producer: Naveen P Thomas 
Chief Associate Director: Binto Stephen 
Make up: Ronex Xavier
Costume designer: Sameera Saneesh 
Production Controller: Gireesh Kodungallur 
Thrills: Billa Jagan, Asharaf Gurukkal 
Sound Design: Sync Cinema 
Final Mixing: Rajakrishnan M R 
Administration and Distribution head: Babin Babu 
Production In charge: Akhil Yesodharan 
Stills: Premlal 
VFX: Promice 
Marketing: Magic Frames Release 
Design: Old Monks

Digital Partner: AVENIRTEK DIGITAL PRIVATE LIMITED",IN
y_WGL8rVrz0,,skibidi toilet 73 (part 1),DaFuq!?Boom!,24,2024-04-20T21:20:07Z,"sfm animation,skibidi toilet vs cameramen,skibidi toilet,scientist skibidi,tv woman,titan cameraman,titan speakerman,skibidi toilet all episodes,titan tv man,g-toilet,gman toilet",14425601,821013,0,70373,https://i.ytimg.com/vi/y_WGL8rVrz0/default.jpg,False,,"cameramen infiltrate last remaining part of skibidi lab

full-screen version

Respectful assets used in the video:
suits - https://steamcommunity.com/sharedfiles/filedetails/?id=2849230339
speakers models by ivip -https://steamcommunity.com/sharedfiles/filedetails/?id=2680336465
https://steamcommunity.com/sharedfiles/filedetails/?id=2684729253
map - https://steamcommunity.com/sharedfiles/filedetails/?id=1958007290
additional particles by @HoovyTube 

Contact me:
instagram.com/dafuqboomtv
blugrayguy@gmail.com",IN
